date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/6/26,3715,19,6741,3030,208,6770,28142,4725,38969
2019/6/27,10491,53,6658,3973,33,14415,44344,541,328443
2019/6/28,3073,0,11222,4632,0,11087,74909,0,159289
2019/6/29,437,0,23751,517,0,19480,6855,0,240389
2019/6/30,3501,654,3974,7189,872,3879,33711,14587,17827
2019/7/1,441,199,2419,608,1524,1851,5651,2765,10206
2019/7/2,434,0,6437,2807,0,7886,11055,0,32727
2019/7/3,641,0,3626,2749,0,2970,12609,0,12462
2019/7/4,453,24,1300,1508,74,3046,7863,1368,9307
2019/7/5,686,47,1350,805,69,1661,4609,262,9933
2019/7/6,1005,0,15873,2083,0,19729,11020,0,68620
2019/7/7,3710,95,1850,5499,124,1971,36004,593,10456
2019/7/8,152274,87,5647,149130,666,4318,182821,2203,47864
2019/7/9,3898,1140,10774,4724,699,12891,42314,7016,44686
2019/7/10,1690,222,5569,1916,706,14720,18428,17322,82954
2019/7/11,867,112,9698,951,57,6959,8644,358,67004
2019/7/12,281,13,2666,781,15,3626,8289,1024,20288
2019/7/13,1158,43,2266,3128,541,3752,21797,1579,15421
2019/7/14,1354,7,2150,2844,8,4692,38139,42,30803
2019/7/15,14640,335,5687,5840,1164,4642,29920,5760,47306
2019/7/16,10695,20,2812,2823,402,4660,14269,4177,24949
2019/7/17,162,0,9039,414,0,25293,4014,0,599104
2019/7/18,1834,31,3798,2144,30,5127,15457,147,33364
2019/7/19,884,35,12868,1926,81,8369,6231,917,78275
2019/7/20,531,0,14589,2284,0,3865,12594,0,26875
2019/7/21,388,149,1605,1061,261,1334,4618,1013,5499
2019/7/22,208,60,12095,1049,857,11923,11987,4226,131532
2019/7/23,24,28,15745,0,232,15692,3716,31214,348198
2019/7/24,774,293,3606,456,1354,6019,5354,51557,49780
2019/7/25,4074,0,10669,3559,0,10051,48857,0,108383
2019/7/26,7414,2742,3866,6294,8572,6646,358625,139654,49237
2019/7/27,661,108,4500,2074,473,6145,8655,13912,22203
2019/7/28,1620,163,2085,3103,119,2418,44630,1533,8325
2019/7/29,980,0,1357,1764,0,3273,42112,0,26129
2019/7/30,1177,132,865,3467,314,2181,36116,3417,16304
2019/7/31,1225,79,2793,1999,636,3853,8731,2830,15967
2019/8/1,646,243,17848,1714,827,10935,9815,2533,18421
2019/8/2,717,0,3807,1859,0,13242,12096,0,47258
2019/8/3,75,60,2583,777,437,2698,5504,7581,20805
2019/8/4,352,20,1225,1242,221,1581,9204,696,9812
2019/8/5,348,92,7777,1108,1591,4367,4473,8380,27817
2019/8/6,673,29,12229,2650,276,6048,20669,1493,39863
2019/8/7,1266,76,1498,1803,672,2480,11775,8105,9343
2019/8/8,259,0,5527,1124,0,10416,22878,0,118722
2019/8/9,161,0,81961,545,0,58604,49389,0,1632650
2019/8/10,590,0,5699,1230,0,8737,93018,0,123817
2019/8/11,1374,0,7452,2117,0,7554,23298,0,52307
2019/8/12,3733,338,2417,2156,1004,4240,14857,3288,36447
2019/8/13,2911,0,2329,8426,0,9536,80664,0,63548
2019/8/14,823,1723,21630,2625,1455,22335,14542,17914,964972
2019/8/15,98,303,4113,85,360,3737,3386,2219,130301
2019/8/16,225,0,18369,906,0,12716,15887,0,60597
2019/8/17,5331,0,9905,6957,0,4243,79358,0,61373
2019/8/18,1472,476,2414,2843,709,3165,33987,19941,51616
2019/8/19,1558,0,24198,2227,0,14791,36889,0,196966
2019/8/20,3624,57,3108,4177,226,4234,54343,2515,63848
2019/8/21,3594,1788,23649,3143,410,11303,64675,2081,84929
2019/8/22,1279,43,11134,1532,10,16274,21135,144,185064
2019/8/23,333,12177,103044,460,2778,22466,5117,77578,409722
2019/8/24,537,0,10427,1743,0,6940,18962,0,29698
2019/8/25,1034,63,12270,1027,478,4560,4842,849,76314
2019/8/26,549,104,12427,1558,116,12740,51622,594,118313
2019/8/27,144,185,4004,388,62,2499,8704,351,14616
2019/8/28,942,0,3203,1862,0,5877,74972,0,27957
2019/8/29,231,20,2232,221,48,4644,15767,192,90941
2019/8/30,889,50,10023,749,199,11596,3797,358,122501
2019/8/31,223,623,9335,666,3066,8904,5432,14350,35976
2019/9/1,322,100,3469,2074,431,7258,8663,2376,79313
2019/9/2,1125,368,5935,4540,1208,32126,52422,4018,132793
2019/9/3,280,0,7036,1190,0,5755,6636,0,70634
2019/9/4,925,25,3486,2718,162,9480,19704,1104,73022
2019/9/5,635,0,18778,2533,0,8441,12324,0,53249
2019/9/6,369,0,4956,328,0,13012,2094,0,113180
2019/9/7,1162,9,2113,4191,34,5658,33376,1098,24807
2019/9/8,470,16,2500,1243,49,5224,8004,3006,27131
2019/9/9,359,0,5946,230,0,10251,1504,0,55584
2019/9/10,10900,785,18225,1708,542,11564,8673,4623,41197
2019/9/11,5117,131,17988,30943,739,36590,628816,30102,1062556
2019/9/12,789,39,53619,1957,133,19978,13734,1975,136702
2019/9/13,998,0,2439,3033,0,5451,17166,0,59911
2019/9/14,1174,252,1959,3608,266,6655,17378,608,17310
2019/9/15,1005,268,7648,4979,503,6839,20988,988,25004
2019/9/16,2107,0,13017,3309,0,19269,35708,0,273777
2019/9/17,1172,189,1470,3904,1087,6821,15293,9794,36161
2019/9/18,950,77,3224,3313,316,9100,20834,1516,177272
2019/9/19,1222,0,36373,2629,0,76149,96017,0,1724117
2019/9/20,346,2023,19570,2990,2922,20452,62280,19300,525111
2019/9/21,879,0,3114,4114,0,5748,23640,0,23552
2019/9/22,1428,17,3589,7406,1,7784,73220,1257,65245
2019/9/23,776,0,9997,493,0,15036,2138,0,200841
2019/9/24,7370,299,7830,5951,1906,16481,38006,131120,211701
2019/9/25,256,360,2116,1430,2127,5181,16409,18707,26743
2019/9/26,2089,652,34024,16285,10341,65175,596982,69132,416984
2019/9/27,1794,62,6671,9029,286,17888,116550,1656,133115
2019/9/28,781,0,10329,3720,0,9647,33119,0,40087
2019/9/29,5314,22,9444,2514,191,12354,10332,2306,115390
2019/9/30,724,6,12534,1289,147,10004,3317,829,31908
2019/10/1,538,29,6801,3884,76,3130,23373,1499,40944
2019/10/2,953,671,639,3869,2853,2945,16696,11893,19979
2019/10/3,641,50,3633,6740,487,5078,25489,1980,29803
2019/10/4,407,410,2017,3691,5564,5181,13111,377375,15035
2019/10/5,2536,24,8599,7240,129,9687,137028,453,123024
2019/10/6,566,0,676,2687,0,3066,14090,0,12446
2019/10/7,2270,6,1568,7177,58,3170,71407,3037,22353
2019/10/8,179,109,84188,475,249,32898,2331,1634,250418
2019/10/9,764,92,3852,3751,47,6393,22732,477,20695
2019/10/10,815,0,1928,2760,0,3232,14580,0,27261
2019/10/11,1352,68,8144,5162,287,7827,37884,3690,32737
2019/10/12,678,581,3783,3527,303,6608,20365,1950,95281
2019/10/13,449,348,2928,2248,1339,8150,10138,10520,123587
2019/10/14,314,0,2508,741,0,4253,4818,0,21278
2019/10/15,518,0,2681,434,0,3402,5970,0,34236
2019/10/16,296,144,2360,1352,409,6225,65947,3016,88863
2019/10/17,576,226,4629,2003,1426,4631,10824,7651,20381
2019/10/18,387,1024,14360,1344,1551,10804,3731,8323,56537
2019/10/19,307,398,16828,287,1072,11649,1835,8376,180705
2019/10/20,989,67,5261,977,769,2858,9203,4085,14021
2019/10/21,281,222,5087,1723,722,6692,15642,411,29409
2019/10/22,284,681,9603,1568,406,4637,9163,2228,25647
2019/10/23,2016,107,5413,5352,317,8724,83604,1734,83214
2019/10/24,189,59,5756,1578,331,4892,5381,985,15467
2019/10/25,426,84,5754,1221,1301,3820,39074,5581,91596
2019/10/26,651,295,20233,1852,247,7975,12812,6595,27432
2019/10/27,215,0,5337,736,0,5376,3846,0,28193
2019/10/28,18628,316,8520,4971,803,13560,7415,8206,138273
2019/10/29,2340,121,9051,1559,236,10517,8803,819,51531
2019/10/30,99,21,4919,921,73,7688,11886,352,44459
2019/10/31,1958,255,8039,1604,532,21399,12939,3335,37438
2019/11/1,4000,0,36566,10727,0,35827,124407,0,285863
2019/11/2,2489,336,2982,4049,636,6812,24198,4766,18512
2019/11/3,1088,146,10453,2375,674,9036,12670,1777,79628
2019/11/4,602,6,16242,3569,110,8388,14208,615,26527
2019/11/5,1284,0,5861,2255,0,7641,10627,0,76743
2019/11/6,367,167,6017,1280,195,16181,8257,529,47247
2019/11/7,2719,261,4400,1201,418,6450,12155,1555,33289
2019/11/8,681,0,9939,1691,0,11998,5453,0,66635
2019/11/9,456,0,10355,2313,0,19685,10392,0,585079
2019/11/10,672,0,26655,2787,0,16483,8622,0,97544
2019/11/11,2942,341,24480,3071,460,35414,65387,5068,239266
2019/11/12,482,0,10528,2018,0,9431,12122,0,42387
2019/11/13,1375,9,5279,4509,279,3032,18667,843,15373
2019/11/14,213,24,3680,1615,438,4128,6574,2337,20645
2019/11/15,539,0,2764,2334,0,4367,10085,0,23753
2019/11/16,579,2786,4047,1883,2241,5121,14165,24513,16610
2019/11/17,428,0,3272,1814,0,3503,10167,0,24399
2019/11/18,1525,49,29635,4000,83,20423,31040,1087,61307
2019/11/19,74,0,22971,157,0,12893,1381,0,82875
2019/11/20,176,71,41621,2272,348,17039,6317,593,45429
2019/11/21,403,0,11271,3178,0,14915,13890,0,41410
2019/11/22,1631,1155,26906,2372,204,8299,89351,1999,33310
2019/11/23,2725,0,11236,5458,0,7040,9041,0,24344
2019/11/24,765,15,8067,1347,11,6750,8943,121,116008
2019/11/25,1276,2595,20737,3557,231,16861,26536,653,74833
2019/11/26,1585,189,14469,986,259,21387,6462,1344,136900
2019/11/27,724,10782,16130,1423,4199,15236,16080,3468,32862
2019/11/28,3558,5990,68638,4742,1262,44889,38054,10075,82479
2019/11/29,3423,6,34607,5077,76,10340,25804,3206,62683
2019/11/30,2379,307,31857,4609,1492,9196,30676,6556,61828
