date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/6/14,0,0,67208,0,0,16892,0,0,66779
2019/6/15,18,0,2752,131,0,1768,1405,0,18965
2019/6/16,348,98,802,2070,74,3141,10032,824,19574
2019/6/17,293,9443,10830,1795,759,10956,9164,11650,9602
2019/6/18,0,0,10936,0,0,8601,0,0,51072
2019/6/19,0,0,10457,0,0,3148,0,0,27028
2019/6/20,1984,0,18036,2057,0,4185,20702,0,37423
2019/6/21,3544,436,26312,983,1107,5918,7157,22296,83601
2019/6/22,0,0,3401,0,0,1873,0,0,12956
2019/6/23,628,0,4310,1311,0,4040,8063,0,39993
2019/6/24,89,0,702,206,0,515,739,0,3834
2019/6/25,58,0,5716,122,0,5409,1263,0,37609
2019/6/26,3211,0,2469,2266,0,2333,20943,0,10158
2019/6/27,10338,0,690,2446,0,1322,35031,0,7406
2019/6/28,270,0,8833,178,0,7237,2965,0,104124
2019/6/29,186,0,2349,189,0,2943,3727,0,31034
2019/6/30,124,0,2255,155,0,2070,777,0,9613
2019/7/1,59,0,1319,32,0,528,393,0,3350
2019/7/2,0,0,230,0,0,65,0,0,423
2019/7/3,0,0,209,0,0,315,0,0,1832
2019/7/4,0,0,191,0,0,256,0,0,1032
2019/7/5,126,0,360,131,0,82,1096,0,234
2019/7/6,81,59,764,62,9,796,202,220,7546
2019/7/7,0,0,857,0,0,302,0,0,2598
2019/7/8,0,0,0,0,0,0,0,0,0
2019/7/9,1158,658,5788,941,416,9213,3431,4741,20934
2019/7/10,104,0,32,97,0,51,712,0,300
2019/7/11,21,112,1130,12,57,797,66,358,4231
2019/7/12,0,0,63,0,0,26,0,0,357
2019/7/13,7,0,78,117,0,112,730,0,2010
2019/7/14,0,0,1418,0,0,1397,0,0,4037
2019/7/15,120,0,2668,602,0,1848,1904,0,8896
2019/7/16,0,0,1741,0,0,1912,0,0,4446
2019/7/17,147,0,3021,196,0,4388,1017,0,43824
2019/7/18,588,0,2690,313,0,1745,1246,0,8878
2019/7/19,742,0,5918,476,0,2691,549,0,11118
2019/7/20,0,0,253,0,0,32,0,0,313
2019/7/21,12,149,1231,427,261,891,1119,1013,4063
2019/7/22,82,0,1375,35,0,2049,98,0,14644
2019/7/23,0,0,3704,0,0,4075,0,0,29747
2019/7/24,50,0,1040,118,0,2995,1530,0,6874
2019/7/25,127,0,392,256,0,984,983,0,4724
2019/7/26,49,2742,1350,86,8572,879,576,139654,4913
2019/7/27,339,40,2628,693,238,2417,3203,839,12304
2019/7/28,861,0,525,258,0,226,352,0,953
2019/7/29,0,0,209,0,0,278,0,0,2058
2019/7/30,963,0,97,1938,0,298,22644,0,1659
2019/7/31,0,66,39,0,124,229,0,1254,414
2019/8/1,95,0,803,394,0,590,1347,0,4028
2019/8/2,0,0,24,0,0,61,0,0,389
2019/8/3,0,0,881,0,0,783,0,0,10652
2019/8/4,8,0,478,188,0,588,238,0,2092
2019/8/5,0,0,6414,0,0,2674,0,0,12510
2019/8/6,0,0,8078,0,0,3360,0,0,27571
2019/8/7,43,0,483,79,0,990,541,0,2686
2019/8/8,0,0,1148,0,0,1639,0,0,8999
2019/8/9,0,0,61464,0,0,32294,0,0,612525
2019/8/10,0,0,3944,0,0,4068,0,0,40579
2019/8/11,143,0,847,553,0,356,3864,0,6503
2019/8/12,29,62,1509,394,114,1935,1049,570,11207
2019/8/13,0,0,1530,0,0,1748,0,0,10843
2019/8/14,0,0,379,0,0,1110,0,0,4427
2019/8/15,0,0,2938,0,0,1649,0,0,6860
2019/8/16,0,0,17482,0,0,8195,0,0,31171
2019/8/17,2801,0,8654,1613,0,2122,24444,0,49491
2019/8/18,464,323,1483,941,235,2033,19612,3194,26781
2019/8/19,178,0,23352,367,0,11992,3598,0,126157
2019/8/20,0,0,2057,0,0,2086,0,0,2209
2019/8/21,81,0,2694,212,0,895,1234,0,42786
2019/8/22,187,0,7338,243,0,12658,5091,0,163712
2019/8/23,333,0,66289,460,0,3002,5117,0,77813
2019/8/24,40,0,8688,324,0,3064,736,0,11222
2019/8/25,67,0,1763,144,0,388,1183,0,4708
2019/8/26,0,0,1880,0,0,2792,0,0,6229
2019/8/27,0,54,2834,0,38,586,0,119,3030
2019/8/28,296,0,1281,398,0,1767,2356,0,7081
2019/8/29,13,20,1073,34,48,1354,139,192,6140
2019/8/30,595,50,1568,225,199,7644,1035,358,66543
2019/8/31,0,0,660,0,0,1857,0,0,7294
2019/9/1,36,0,2090,600,0,4168,2482,0,17789
2019/9/2,145,0,386,558,0,1018,1930,0,5575
2019/9/3,167,0,1376,605,0,2235,2315,0,16338
2019/9/4,0,0,347,0,0,172,0,0,911
2019/9/5,262,0,17871,1492,0,5946,6839,0,40286
2019/9/6,369,0,1036,328,0,4434,2094,0,31414
2019/9/7,287,0,693,252,0,582,966,0,3315
2019/9/8,0,0,744,0,0,2507,0,0,14225
2019/9/9,0,0,2748,0,0,5164,0,0,21550
2019/9/10,68,708,17249,241,365,10354,357,2815,30488
2019/9/11,0,0,7920,0,0,14816,0,0,99102
2019/9/12,0,0,2870,0,0,4363,0,0,11409
2019/9/13,0,0,679,0,0,2141,0,0,9862
2019/9/14,484,0,306,280,0,559,1169,0,1718
2019/9/15,78,0,1218,679,0,754,1934,0,4399
2019/9/16,1169,0,2887,1273,0,10428,12534,0,108873
2019/9/17,428,139,1007,1089,783,6106,4055,4182,35334
2019/9/18,566,0,1302,2613,0,4515,17176,0,28678
2019/9/19,0,0,6721,0,0,15707,0,0,110148
2019/9/20,61,1802,2910,220,1849,5864,1135,7179,29019
2019/9/21,0,0,1803,0,0,2038,0,0,9463
2019/9/22,128,0,2831,356,0,4473,1016,0,9351
2019/9/23,106,0,8273,164,0,12864,712,0,175423
2019/9/24,508,206,3080,3272,1369,7416,32256,9024,64628
2019/9/25,36,115,649,404,626,878,882,3707,3850
2019/9/26,494,0,3329,5809,0,6635,44624,0,73462
2019/9/27,619,62,5499,103,286,7536,837,1656,21785
2019/9/28,0,0,5870,0,0,8368,0,0,22642
2019/9/29,5314,22,34564,2514,191,20333,10332,2306,178355
2019/9/30,37,0,11378,50,0,8486,125,0,22265
2019/10/1,0,0,162,0,0,457,0,0,1282
2019/10/2,192,242,119,789,223,328,2152,1374,2344
2019/10/3,234,50,3240,1854,487,2444,5569,1980,10325
2019/10/4,0,0,277,0,0,529,0,0,2244
2019/10/5,624,0,251,1320,0,253,14967,0,1313
2019/10/6,12,0,96,127,0,159,252,0,1585
2019/10/7,324,0,625,1016,0,1790,4497,0,17533
2019/10/8,0,47,81478,0,110,29926,0,647,233214
2019/10/9,7,92,2348,49,47,2571,176,477,8421
2019/10/10,246,0,621,362,0,1115,1816,0,5630
2019/10/11,746,0,4979,1520,0,2150,3240,0,21437
2019/10/12,0,0,2033,0,0,2289,0,0,7750
2019/10/13,106,82,918,43,185,1395,375,383,8764
2019/10/14,15,0,900,15,0,1044,80,0,4755
2019/10/15,0,0,380,0,0,596,0,0,8615
2019/10/16,88,144,387,438,409,872,50794,3016,4622
2019/10/17,158,0,278,359,0,1061,1237,0,5325
2019/10/18,0,0,6211,0,0,2987,0,0,17931
2019/10/19,0,0,15762,0,0,8723,0,0,122703
2019/10/20,790,37,6515,360,189,1424,3836,1084,9806
2019/10/21,0,0,1558,0,0,1376,0,0,4598
2019/10/22,0,0,245,0,0,397,0,0,1873
2019/10/23,1849,0,4207,4299,0,5229,71749,0,29975
2019/10/24,0,0,3062,0,0,2928,0,0,8200
2019/10/25,55,0,2627,103,0,1170,393,0,50702
2019/10/26,13,273,6529,166,43,4030,972,806,11153
2019/10/27,0,0,852,0,0,980,0,0,5922
2019/10/28,18361,70,5316,4190,17,8866,4567,179,114421
2019/10/29,86,110,1839,166,145,5353,476,564,16303
2019/10/30,0,1352,1714,0,236,2569,0,3045,8129
2019/10/31,0,0,6765,0,0,18163,0,0,24958
2019/11/1,1942,0,27288,9570,0,26684,110915,0,204629
2019/11/2,1530,0,2199,956,0,4689,2302,0,10540
2019/11/3,196,113,4611,411,195,5004,988,686,59171
2019/11/4,50,0,4817,931,0,1988,1064,0,8237
2019/11/5,113,0,2776,726,0,1445,2126,0,5022
2019/11/6,52,0,2887,61,0,1789,362,0,12427
2019/11/7,2506,0,1624,994,0,1308,11801,0,10684
2019/11/8,228,0,8119,584,0,8974,2123,0,41702
2019/11/9,14,0,8667,60,0,7851,152,0,567104
2019/11/10,343,0,26597,1279,0,16011,4994,0,97304
2019/11/11,2626,223,17137,2635,216,31922,61838,2322,51537
2019/11/12,0,83,3679,0,452,2877,0,2938,3461
2019/11/13,52,0,3320,118,0,1173,450,0,6756
2019/11/14,27,0,1464,121,0,1575,538,0,4231
2019/11/15,74,0,2170,386,0,1658,1041,0,4817
2019/11/16,0,0,1882,0,0,2740,0,0,8529
2019/11/17,49,0,2421,186,0,1274,1443,0,9369
2019/11/18,628,0,6794,1340,0,3704,5750,0,18028
2019/11/19,52,32,15561,135,335,7621,1106,1688,32697
2019/11/20,52,59,32990,296,229,5044,417,405,22387
2019/11/21,872,0,8885,1536,0,12131,2644,0,21958
2019/11/22,262,0,5787,13,0,5737,256,0,19385
2019/11/23,0,0,4724,0,0,3228,0,0,8247
2019/11/24,73,0,3122,74,0,2669,359,0,9093
2019/11/25,409,0,3199,806,0,5103,4509,0,22474
2019/11/26,1229,175,10989,537,138,13273,1800,619,88427
2019/11/27,31,10782,701,38,4199,901,87,3468,3735
2019/11/28,650,5990,6967,2048,1262,2574,10975,10075,7647
2019/11/29,0,0,6090,0,0,6654,0,0,49601
2019/11/30,0,0,1353,0,0,2749,0,0,24201
