观视频工作室,2,0,0,40777,1,1,0,0,40570,0,0,207
龚凯杰,1,0,0,411,0,1,0,0,0,0,0,411
George-瓜瓜,2,0,0,2173,2,0,0,0,2173,0,0,0
北京日报,1,0,0,224,1,0,0,0,224,0,0,0
都市快报,1,0,0,77,0,1,0,0,0,0,0,77
易喵燚烊,2,0,0,884,2,0,0,0,884,0,0,0
科技疯报,2,0,0,4006,2,0,0,0,4006,0,0,0
洛画上骨,1,0,0,234,1,0,0,0,234,0,0,0
馒头烧仙草,1,0,0,429,1,0,0,0,429,0,0,0
两分,1,0,0,63,1,0,0,0,63,0,0,0
短线刀客888,1,0,0,53,1,0,0,0,53,0,0,0
微博股票点评团,1,0,0,20,1,0,0,0,20,0,0,0
红星竹雨,1,0,0,83,1,0,0,0,83,0,0,0
微观新乡,1,0,0,13,1,0,0,0,13,0,0,0
爱情大咖,1,0,0,72,1,0,0,0,72,0,0,0
刀兄,1,0,0,60,1,0,0,0,60,0,0,0
季和之语,1,0,0,119,0,1,0,0,0,0,0,119
中科大胡不归,1,0,0,51,0,1,0,0,0,0,0,51
海雀科技,2,0,0,183,2,0,0,0,183,0,0,0
是囡妈啊,1,0,0,242,1,0,0,0,242,0,0,0
硬哥,1,0,0,402,0,1,0,0,0,0,0,402
魏大勋后援会,1,0,0,141,1,0,0,0,141,0,0,0
艺术无解无界,1,0,0,158,1,0,0,0,158,0,0,0
界面新闻,3,0,0,65285,1,2,0,0,91,0,0,65194
微博股票,1,0,0,66,0,1,0,0,0,0,0,66
魏大勋,1,0,0,109733,1,0,0,0,109733,0,0,0
新京报我们视频,2,0,0,1968,2,0,0,0,1968,0,0,0
IT科技数码达人,1,0,0,2569,0,1,0,0,0,0,0,2569
张小波,1,0,0,2170,0,1,0,0,0,0,0,2170
Absolute0412_大發無限,1,0,0,416,1,0,0,0,416,0,0,0
华帝幸福厨房,1,0,0,10164,1,0,0,0,10164,0,0,0
JIARUI0412,2,0,0,699,2,0,0,0,699,0,0,0
徐钦松Jim,3,0,0,1234,3,0,0,0,1234,0,0,0
止戈从文,1,0,0,150,1,0,0,0,150,0,0,0
搞笑年度排行榜,1,0,0,534,1,0,0,0,534,0,0,0
闽与南,1,0,0,344,1,0,0,0,344,0,0,0
铜陵夜话,1,0,0,218,1,0,0,0,218,0,0,0
科工力量,1,0,0,107,0,0,0,0,0,0,0,0
摄影师_奥利奥爸爸,1,0,0,522,1,0,0,0,522,0,0,0
-你鹤,1,0,0,1648,0,0,0,0,0,0,0,0
精品研究院官方微博,1,0,0,269,1,0,0,0,269,0,0,0
摩卡,2,0,0,956,1,1,0,0,120,0,0,836
甜橙奶希,1,0,0,277,1,0,0,0,277,0,0,0
清华大学,1,0,0,245,1,0,0,0,245,0,0,0
_茵茵桑_,1,0,0,80,1,0,0,0,80,0,0,0
朱海舟,1,0,0,400,0,1,0,0,0,0,0,400
新浪游戏,1,0,0,111,1,0,0,0,111,0,0,0
小冰,1,0,0,550,1,0,0,0,550,0,0,0
关晓彤,2,0,0,158780,2,0,0,0,158780,0,0,0
艾艾贴,1,0,0,3058,1,0,0,0,3058,0,0,0
娱乐圈神评,1,0,0,1203,1,0,0,0,1203,0,0,0
卤鹅干锅鹅_向天歌,1,0,0,4702,1,0,0,0,4702,0,0,0
短的发布会,3,0,0,11555,2,1,0,0,10950,0,0,605
宋轶工作室,1,0,0,428,1,0,0,0,428,0,0,0
灰爸遛遛遛,1,0,0,556,1,0,0,0,556,0,0,0
樊建川,2,0,0,1073,1,1,0,0,843,0,0,230
主持人祝嘉伟,1,0,0,183,1,0,0,0,183,0,0,0
大英良心汉弗莱,1,0,0,226,1,0,0,0,226,0,0,0
Awesomethings,3,0,0,8174,3,0,0,0,8174,0,0,0
N乌托邦帮主无名B,1,0,0,14589,1,0,0,0,14589,0,0,0
小刚在大理,1,0,0,5525,1,0,0,0,5525,0,0,0
最神奇的视频,1,0,0,1150,1,0,0,0,1150,0,0,0
每天学点经济学,1,0,0,122,0,1,0,0,0,0,0,122
袁炫华,1,0,0,1123,0,1,0,0,0,0,0,1123
首席内幕官,1,0,0,1330,1,0,0,0,1330,0,0,0
华为招聘,1,0,0,164,1,0,0,0,164,0,0,0
直男什么值得买,1,0,0,214,0,1,0,0,0,0,0,214
果壳,1,0,0,409,1,0,0,0,409,0,0,0
全球IT数码排行榜,2,0,0,748,2,0,0,0,748,0,0,0
彭大石,1,0,0,134,1,0,0,0,134,0,0,0
我的名字是阿哲,1,0,0,7855,0,0,0,0,0,0,0,0
男人装,1,0,0,552,1,0,0,0,552,0,0,0
飞碟说,1,0,0,1003,1,0,0,0,1003,0,0,0
摩尔金融,1,0,0,842,0,1,0,0,0,0,0,842
厦门美食,1,0,0,245,1,0,0,0,245,0,0,0
Bingo实验室,1,0,0,1005,1,0,0,0,1005,0,0,0
深万林,1,0,0,116,1,0,0,0,116,0,0,0
李题,1,0,0,1387,1,0,0,0,1387,0,0,0
数字尾巴,1,0,0,606,1,0,0,0,606,0,0,0
中华全国学联,1,0,0,3543,1,0,0,0,3543,0,0,0
风云学会陈经,2,0,0,34114,0,2,0,0,0,0,0,34114
哈尔滨指南,1,0,0,168,1,0,0,0,168,0,0,0
台湾那点事儿,2,0,0,22281,2,0,0,0,22281,0,0,0
袁俊川Aska大魁,1,0,0,7219,1,0,0,0,7219,0,0,0
石家庄发布,1,0,0,165,1,0,0,0,165,0,0,0
黄生看金融,1,0,0,259,1,0,0,0,259,0,0,0
猴大宝,1,0,0,727,1,0,0,0,727,0,0,0
飒飒肖,1,0,0,1287,1,0,0,0,1287,0,0,0
投中网,1,0,0,37,0,1,0,0,0,0,0,37
55玉兔,1,0,0,14,1,0,0,0,14,0,0,0
互联网分析沙龙,1,0,0,27,0,1,0,0,0,0,0,27
宋敬亭,3,0,0,14347,1,2,0,0,61,0,0,14286
合肥融创文旅城,1,0,0,151,1,0,0,0,151,0,0,0
浙商卢献星,1,0,0,229,0,1,0,0,0,0,0,229
陶永谊,3,0,0,956,1,2,0,0,687,0,0,269
辽阔草原锡林郭勒,1,0,0,102,1,0,0,0,102,0,0,0
欧阳秋叶,2,0,0,271,1,1,0,0,168,0,0,103
泡芙好好吃啊啊,1,0,0,170,0,1,0,0,0,0,0,170
aki猫咪,1,0,0,11873,1,0,0,0,11873,0,0,0
经典经济学,1,0,0,56,0,1,0,0,0,0,0,56
孤烟暮蝉,1,0,0,378,0,1,0,0,0,0,0,378
张奶霞,1,0,0,2386,0,1,0,0,0,0,0,2386
黄胜友,1,0,0,182,0,1,0,0,0,0,0,182
人民正能量,1,0,0,125,0,1,0,0,0,0,0,125
辜什么锦,1,0,0,935,1,0,0,0,935,0,0,0
梨子最爱123,1,0,0,628,1,0,0,0,628,0,0,0
飞扬发髻,1,0,0,309,0,1,0,0,0,0,0,309
中国正能量,1,0,0,110,0,1,0,0,0,0,0,110
赵先德,1,0,0,39,1,0,0,0,39,0,0,0
巷内,1,0,0,50,1,0,0,0,50,0,0,0
馬曼然,1,0,0,79,0,1,0,0,0,0,0,79
股社区,3,0,0,29109,0,3,0,0,0,0,0,29109
黑夜之睛滚雪球,1,0,0,2441,0,1,0,0,0,0,0,2441
震长,1,0,0,2921,1,0,0,0,2921,0,0,0
哆啦逐梦,1,0,0,4878,0,1,0,0,0,0,0,4878
互联网的一些事,1,0,0,903,0,1,0,0,0,0,0,903
小编的那点事,1,0,0,15593,0,1,0,0,0,0,0,15593
吴声威wsw,1,0,0,2705,0,1,0,0,0,0,0,2705
凯雷,3,0,0,11767,1,2,0,0,5543,0,0,6224
测评君,3,0,0,3602,2,1,0,0,1298,0,0,2304
哈侠,1,0,0,2972,1,0,0,0,2972,0,0,0
爷最烦装逼的人,1,0,0,783,0,1,0,0,0,0,0,783
肖战数据站,2,0,0,3273,2,0,0,0,3273,0,0,0
兔撕机,1,0,0,3077,0,1,0,0,0,0,0,3077
罗昌平,1,0,0,977,0,1,0,0,0,0,0,977
科技小乙,2,0,0,1786,1,1,0,0,1370,0,0,416
唐胖虎,1,0,0,1432,0,1,0,0,0,0,0,1432
lesliesay,17,0,0,10270,13,1,0,0,7738,0,0,705
NiceSprite,1,0,0,1409,1,0,0,0,1409,0,0,0
电脑报,1,0,0,1090,0,1,0,0,0,0,0,1090
啃骨头的辣条,1,0,0,180,1,0,0,0,180,0,0,0
律师一姐,1,0,0,818,0,1,0,0,0,0,0,818
人工智能生活,1,0,0,777,1,0,0,0,777,0,0,0
沈阳晚报,2,0,0,64855,0,2,0,0,0,0,0,64855
外交部发言人办公室,2,0,0,20843,0,2,0,0,0,0,0,20843
万能的大熊,1,0,0,6372,0,1,0,0,0,0,0,6372
搜狐新闻,1,0,0,16108,0,1,0,0,0,0,0,16108
数据化管理,1,0,0,11144,0,1,0,0,0,0,0,11144
虎嗅APP,1,0,0,3692,0,1,0,0,0,0,0,3692
洛杉矶房东,2,0,0,15272,1,1,0,0,6040,0,0,9232
studiosix,2,0,0,12784,2,0,0,0,12784,0,0,0
深蓝财经,2,0,0,85286,2,0,0,0,85286,0,0,0
意本谢连喜律师,1,0,0,8083,0,1,0,0,0,0,0,8083
你是有多性感,1,0,0,3644,1,0,0,0,3644,0,0,0
长安数码君,19,0,0,24558,9,10,0,0,9724,0,0,14834
无为李爷,3,0,0,16257,0,3,0,0,0,0,0,16257
休城社会闲散人士,1,0,0,9278,0,1,0,0,0,0,0,9278
兽爷,1,0,0,8412,1,0,0,0,8412,0,0,0
夏河,1,0,0,9813,0,1,0,0,0,0,0,9813
张铭恩_,1,0,0,49677,1,0,0,0,49677,0,0,0
Mr小易老板,1,0,0,3104,1,0,0,0,3104,0,0,0
德卡先生的信箱,1,0,0,10923,1,0,0,0,10923,0,0,0
经济观察报,1,0,0,5772,0,1,0,0,0,0,0,5772
王员外,4,0,0,16230,2,2,0,0,5131,0,0,11099
唐史主任司马迁,5,0,0,10994,2,3,0,0,1778,0,0,9216
韩志国,1,0,0,5512,0,1,0,0,0,0,0,5512
股市女人,8,0,0,45838,3,5,0,0,27517,0,0,18321
寰亚SYHP,2,0,0,3418,1,1,0,0,2194,0,0,1224
火羊宝的冰淇淋,1,0,0,2797,1,0,0,0,2797,0,0,0
Xjj_无争,1,0,0,1760,0,1,0,0,0,0,0,1760
茂哥日记,1,0,0,4176,1,0,0,0,4176,0,0,0
地瓜熊老六,4,0,0,13633,1,3,0,0,4434,0,0,9199
巍岳钦禹,1,0,0,2973,0,1,0,0,0,0,0,2973
椒江叶Sir,1,0,0,1655,0,0,0,0,0,0,0,0
财经网,7,0,0,269741,3,2,0,0,192300,0,0,9326
斯图卡98,1,0,0,25833,0,1,0,0,0,0,0,25833
LIMERENCE1128·迷恋,1,0,0,10716,1,0,0,0,10716,0,0,0
BeWithJackson_易烊千玺陪伴站,1,0,0,9552,1,0,0,0,9552,0,0,0
勇气数码君,2,0,0,4029,2,0,0,0,4029,0,0,0
海和蓝,1,0,0,5533,1,0,0,0,5533,0,0,0
子午侠士,2,0,0,13405,0,2,0,0,0,0,0,13405
龙二Pro,1,0,0,6156,1,0,0,0,6156,0,0,0
搜狐时尚,1,0,0,1179,1,0,0,0,1179,0,0,0
五行缺千i,2,0,0,11981,0,2,0,0,0,0,0,11981
易家星火_易烊千玺,1,0,0,3856,1,0,0,0,3856,0,0,0
