日期序号,微博条数,积极条数,消极条数,积极转发,积极评论,积极赞,消极转发,消极评论,消极赞,总转发,总评论,总赞,平均积极转发,平均积极评论,平均积极赞,平均消极转发,平均消极评论,平均消极赞
2019/2/18,30,20,10,1383,2837,9694,937,619,1276,2320 ,3456 ,10970 ,69 ,142 ,485 ,94 ,62 ,128 
2019/2/19,30,24,6,23085,16315,27342,638,1308,3281,23723 ,17623 ,30623 ,962 ,680 ,1139 ,106 ,218 ,547 
2019/2/20,30,14,16,2318,4129,6978,2678,7807,7780,4996 ,11936 ,14758 ,166 ,295 ,498 ,167 ,488 ,486 
2019/2/21,30,20,10,1267,3918,7473,3838,2438,12305,5105 ,6356 ,19778 ,63 ,196 ,374 ,384 ,244 ,1231 
2019/2/22,30,19,11,1452,2270,4150,945,1068,2526,2397 ,3338 ,6676 ,76 ,119 ,218 ,86 ,97 ,230 
2019/2/27,28,20,8,2000,5358,5484,820,1121,2595,2820 ,6479 ,8079 ,100 ,268 ,274 ,103 ,140 ,324 
2019/2/28,30,20,10,3290,2563,8503,1771,3335,2283,5061 ,5898 ,10786 ,165 ,128 ,425 ,177 ,334 ,228 
2019/3/1,30,16,14,1509,1977,4059,1820,2575,2462,3329 ,4552 ,6521 ,94 ,124 ,254 ,130 ,184 ,176 
2019/3/2,30,12,18,31265,7470,11665,1646,3525,4292,32911 ,10995 ,15957 ,2605 ,623 ,972 ,91 ,196 ,238 
2019/3/3,21,11,10,626,1218,1612,631,900,1817,1257 ,2118 ,3429 ,57 ,111 ,147 ,63 ,90 ,182 
2019/3/4,30,16,14,3494,5997,22212,3178,6080,12467,6672 ,12077 ,34679 ,218 ,375 ,1388 ,227 ,434 ,891 
2019/3/5,30,23,7,1759,3481,7688,149,816,758,1908 ,4297 ,8446 ,76 ,151 ,334 ,21 ,117 ,108 
2019/3/6,30,18,12,110459,7639,19992,539,1700,5125,110998 ,9339 ,25117 ,6137 ,424 ,1111 ,45 ,142 ,427 
