用户ID,微博数,转发数,评论数,点赞数,积极数,消极数,平均转发,平均评论,平均点赞,积极转发数,积极评论数,积极点赞数,消极转发数,消极评论数,消极点赞数
共青团中央,21,19659,14879,132090,10,10,936.14 ,708.52 ,6290.00 ,12713,8576,90919,4957,5085,34197
欧阳秋叶,21,752,8006,16724,8,13,35.81 ,381.24 ,796.38 ,169,1714,1459,583,6292,15265
人力资源研究,21,3630,5347,26537,4,14,172.86 ,254.62 ,1263.67 ,280,88,636,2843,4614,19321
风云学会陈经,20,5080,6465,12312,7,12,254.00 ,323.25 ,615.60 ,2389,2535,5881,2613,3918,6270
凤凰网视频,20,3649,3044,12087,13,7,182.45 ,152.20 ,604.35 ,3052,2076,8476,597,968,3611
中国青年报,20,1631,2562,10025,10,10,81.55 ,128.10 ,501.25 ,1042,1677,5767,589,885,4258
新华网,19,1666,767,7432,16,3,87.68 ,40.37 ,391.16 ,1574,692,7079,92,75,353
虎嗅APP,19,2924,15855,176949,6,11,153.89 ,834.47 ,9313.11 ,879,8892,85872,1565,5370,77232
科技Yu,19,1397,8000,40897,10,8,73.53 ,421.05 ,2152.47 ,704,4556,21820,668,3184,16708
但斌,18,3014,1982,12389,16,2,167.44 ,110.11 ,688.28 ,2862,1887,12155,152,95,234
经济观察报,18,555,1018,3070,14,3,30.83 ,56.56 ,170.56 ,363,587,1982,59,36,194
陶永谊,18,3284,4573,22017,5,12,182.44 ,254.06 ,1223.17 ,563,738,2424,2500,3687,18166
路诞先生,18,1081,5484,18948,9,6,60.06 ,304.67 ,1052.67 ,618,3548,9956,382,1355,7705
科技圣斗士,17,549,4309,24170,11,5,32.29 ,253.47 ,1421.76 ,325,3246,16385,200,989,6417
新京报我们视频,17,1994,5028,18682,14,3,117.29 ,295.76 ,1098.94 ,1944,4869,18408,50,159,274
寰亚SYHP,17,2303,3514,21325,10,5,135.47 ,206.71 ,1254.41 ,1306,2455,14510,268,551,3866
中国之声,17,1606,883,5440,11,6,94.47 ,51.94 ,320.00 ,1431,669,3543,175,214,1897
科工力量,17,2938,2054,7473,10,5,172.82 ,120.82 ,439.59 ,1124,692,1865,1734,1268,5463
陈震同学,17,1044,9347,19397,15,2,61.41 ,549.82 ,1141.00 ,1002,8584,17203,42,763,2194
小表哥PRO,17,1420,15419,19755,1,13,83.53 ,907.00 ,1162.06 ,12,560,418,1347,12748,18329
科技美学,17,1233,7825,71835,13,4,72.53 ,460.29 ,4225.59 ,1144,6266,66668,89,1559,5167
搞机王腾霄,17,1582,11607,31616,6,11,93.06 ,682.76 ,1859.76 ,373,2362,4560,1209,9245,27056
