date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2019-08-02,46,0,0,42,0,0,395,0,0,0.0
2019-08-03,0,0,76,0,0,402,0,0,2037,1.0
2019-08-04,0,0,26,0,0,32,0,0,131,1.0
2019-08-05,0,0,23,0,0,35,0,0,249,1.0
2019-08-06,123,0,82,623,0,88,2600,0,429,0.15183776932826362
2019-08-07,0,0,0,0,0,0,0,0,0,0
2019-08-08,0,0,0,0,0,0,0,0,0,0
2019-08-09,0,0,3361,0,0,2532,0,0,30779,1.0
2019-08-10,0,0,0,0,0,0,0,0,0,0
2019-08-11,0,0,1762,0,0,1654,0,0,9258,1.0
2019-08-12,0,0,128,0,0,32,0,0,321,1.0
2019-08-13,0,0,0,0,0,0,0,0,0,0
2019-08-14,0,0,94,0,0,174,0,0,1125,1.0
2019-08-15,0,0,0,0,0,0,0,0,0,0
2019-08-16,0,0,317,0,0,451,0,0,4078,1.0
2019-08-17,2801,0,703,1613,0,1490,24444,0,7620,0.2537560445812107
2019-08-18,120,31,0,228,174,0,1728,2104,0,0.0
2019-08-19,0,0,0,0,0,0,0,0,0,0
2019-08-20,65,0,51,259,0,177,3381,0,692,0.1989189189189189
2019-08-21,3420,0,692,2800,0,450,32007,0,8369,0.19923331517868365
2019-08-22,0,0,0,0,0,0,0,0,0,0
2019-08-23,0,0,0,0,0,0,0,0,0,0
2019-08-24,0,0,0,0,0,0,0,0,0,0
2019-08-25,0,0,0,0,0,0,0,0,0,0
2019-08-26,0,0,713,0,0,113,0,0,514,1.0
2019-08-27,39,0,63,54,0,85,531,0,448,0.4885245901639344
2019-08-28,0,0,104,0,0,119,0,0,1162,1.0
2019-08-29,24,0,0,19,0,0,314,0,0,0.0
2019-08-30,249,0,0,329,0,0,1971,0,0,0.0
2019-08-31,0,0,504,0,0,705,0,0,3159,1.0
2019-09-01,0,100,28,0,431,11,0,2376,119,0.05154975530179445
2019-09-02,103,0,0,192,0,0,535,0,0,0.0
2019-09-03,167,0,0,605,0,0,2315,0,0,0.0
2019-09-04,122,0,259,69,0,38,319,0,480,0.6037296037296037
2019-09-05,232,0,65,449,0,148,2418,0,542,0.19590036325895174
2019-09-06,0,0,0,0,0,0,0,0,0,0
2019-09-07,151,0,84,126,0,232,773,0,1067,0.5684340320591862
2019-09-08,0,0,432,0,0,873,0,0,3807,1.0
2019-09-09,0,0,1351,0,0,1407,0,0,9294,1.0
2019-09-10,0,0,0,0,0,0,0,0,0,0
2019-09-11,0,0,0,0,0,0,0,0,0,0
2019-09-12,0,0,355,0,0,1318,0,0,5320,1.0
2019-09-13,0,0,388,0,0,709,0,0,5261,1.0
2019-09-14,0,0,0,0,0,0,0,0,0,0
2019-09-15,0,0,42,0,0,19,0,0,447,1.0
2019-09-16,63,0,3912,34,0,11059,9356,0,184553,0.9547653569531576
2019-09-17,94,0,316,287,0,3117,1023,0,23761,0.9509056577383034
2019-09-18,0,0,70,0,0,212,0,0,387,1.0
2019-09-19,0,0,0,0,0,0,0,0,0,0
2019-09-20,0,0,0,0,0,0,0,0,0,0
2019-09-21,0,0,0,0,0,0,0,0,0,0
2019-09-22,0,0,0,0,0,0,0,0,0,0
2019-09-23,0,0,0,0,0,0,0,0,0,0
2019-09-24,0,0,1329,0,0,3813,0,0,57505,1.0
2019-09-25,0,0,573,0,0,1650,0,0,7435,1.0
2019-09-26,97,0,891,144,0,866,1218,0,19840,0.9367192921582235
2019-09-27,0,0,247,0,0,362,0,0,3138,1.0
2019-09-28,148,0,0,507,0,0,2001,0,0,0.0
2019-09-29,184,0,4409,419,0,5557,2585,0,80088,0.9658093991977864
2019-09-30,0,0,92,0,0,60,0,0,211,1.0
2019-09-31,681,0,799,2744,0,1560,13882,0,5834,0.32129411764705884
2019-10-01,0,0,91,0,0,858,0,0,3818,1.0
2019-10-02,52,0,0,72,0,0,399,0,0,0.0
2019-10-03,0,0,93,0,0,201,0,0,1786,1.0
2019-10-04,0,0,0,0,0,0,0,0,0,0
2019-10-05,0,0,83,0,0,65,0,0,243,1.0
2019-10-06,0,0,396,0,0,445,0,0,3253,1.0
2019-10-07,0,0,0,0,0,0,0,0,0,0
2019-10-08,0,0,1618,0,0,1804,0,0,45197,1.0
2019-10-09,0,92,17,0,47,76,0,477,321,0.40194174757281553
2019-10-10,246,0,537,362,0,690,1816,0,3086,0.6401959329078225
2019-10-11,443,0,290,1792,0,472,25241,0,3069,0.12236879931005845
2019-10-12,190,0,0,136,0,0,847,0,0,0.0
2019-10-13,0,0,15,0,0,11,0,0,173,1.0
2019-10-14,0,0,76,0,0,812,0,0,2315,1.0
2019-10-15,407,0,822,279,0,781,4016,0,9698,0.7061800912328938
2019-10-16,46,0,919,112,0,2282,355,0,73765,0.9933788510435085
2019-10-17,226,0,124,262,0,306,1319,0,827,0.41024804177545693
2019-10-18,229,1024,147,532,1551,627,1876,8323,2917,0.2142691280622315
2019-10-19,0,0,229,0,0,782,0,0,39322,1.0
2019-10-20,144,0,17,95,0,24,604,0,101,0.14416243654822336
2019-10-21,22,62,798,7,46,975,150,336,12314,0.9576478585995921
2019-10-22,0,0,43,0,0,110,0,0,525,1.0
2019-10-23,0,0,0,0,0,0,0,0,0,0
2019-10-24,0,51,0,0,178,0,0,486,0,0.0
2019-10-25,182,0,4992,395,0,3448,34752,0,90614,0.7371021632200502
2019-10-26,213,0,486,241,0,135,1457,0,1453,0.5204516938519448
2019-10-27,0,0,1958,0,0,1384,0,0,13265,1.0
2019-10-28,130,0,161,199,0,11,1330,0,930,0.39913074972835927
2019-10-29,2173,110,594,1134,145,832,6916,564,3149,0.2929499903950823
2019-10-30,0,21,588,0,73,1323,0,352,7143,0.9530526315789474
2019-10-31,0,0,116,0,0,211,0,0,2262,1.0
2019-11-01,0,0,6049,0,0,3753,0,0,21474,1.0
2019-11-02,71,0,668,53,0,955,159,0,4820,0.9579244721974428
2019-11-03,637,0,52,1324,0,71,6214,0,253,0.043971465325692904
2019-11-04,408,0,127,1260,0,242,6404,0,1401,0.17984149563096932
2019-11-05,895,0,91,1150,0,168,5996,0,919,0.12777958563835556
2019-11-06,267,0,356,626,0,221,4996,0,5900,0.5237748665696264
2019-11-07,87,261,517,108,418,422,746,1555,2126,0.4911858974358974
2019-11-08,0,0,1244,0,0,827,0,0,3685,1.0
2019-11-09,207,0,0,132,0,0,610,0,0,0.0
2019-11-10,138,0,0,333,0,0,1588,0,0,0.0
2019-11-11,0,0,0,0,0,0,0,0,0,0
2019-11-12,0,0,1187,0,0,1975,0,0,7858,1.0
2019-11-13,194,0,3529,247,0,1109,1269,0,6720,0.8691460055096418
2019-11-14,0,0,90,0,0,405,0,0,2012,1.0
2019-11-15,0,0,0,0,0,0,0,0,0,0
2019-11-16,0,0,225,0,0,410,0,0,2296,1.0
2019-11-17,42,0,207,107,0,472,345,0,5162,0.9220205209155485
2019-11-18,604,0,0,1441,0,0,7611,0,0,0.0
2019-11-19,52,0,486,135,0,705,1106,0,11204,0.9055376972530684
2019-11-20,0,0,338,0,0,455,0,0,1738,1.0
2019-11-21,0,0,189,0,0,90,0,0,534,1.0
2019-11-22,0,0,1055,0,0,862,0,0,4708,1.0
2019-11-23,2430,0,1209,4076,0,865,4513,0,3910,0.3519378933129448
2019-11-24,73,0,814,74,0,2012,359,0,93880,0.9947948812903756
2019-11-25,0,0,0,0,0,0,0,0,0,0
2019-11-26,0,0,0,0,0,0,0,0,0,0
2019-11-27,285,0,0,86,0,0,209,0,0,0.0
2019-11-28,226,0,76,684,0,460,3337,0,10600,0.723916011181174
2019-11-29,0,0,0,0,0,0,0,0,0,0
