date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2019-04-19,271,0,150,278,0,766,1034,0,862,0.5290092234454031
2019-04-20,133,0,502,1748,0,4284,3395,0,4159,0.628999367133113
2019-04-21,872,0,2513,1094,0,1277,3847,0,4719,0.5941209328306103
2019-04-22,254,0,9552,1988,0,4427,3375,0,5217,0.7736267279248781
2019-04-23,28,27,5423,166,44,4535,157,156,7926,0.9686924493554327
2019-04-24,408,0,6017,2403,0,3960,1332,0,2341,0.7483141971933661
2019-04-25,76,0,1756,1183,0,3150,1795,0,5230,0.7684609552691433
2019-04-26,59,9,0,253,333,0,428,360,0,0.0
2019-04-28,196,0,273,1384,0,1121,755,0,1726,0.5719523373052245
2019-04-29,402,0,11163,84,0,15906,191,0,7164,0.9806072758521913
2019-04-30,0,0,733,0,0,1007,0,0,430,1.0
2019-05-01,58,14,2912,909,1740,1531,1645,409,1630,0.5598266961651918
2019-05-02,12,0,1000,68,0,1030,64,0,1361,0.9592644978783592
2019-05-03,22,40,114,59,213,617,64,229,538,0.6693037974683544
2019-05-04,682,0,444,1638,0,1985,4431,0,3574,0.47067586639485653
2019-05-05,27,0,25964,16,0,12189,29,0,9479,0.9984906926043937
2019-05-06,5,0,1195,2,0,1874,41,0,2021,0.990657843518879
2019-05-07,71,0,67,52,0,193,105,0,469,0.7617554858934169
2019-05-08,13,21,604,130,178,2103,209,376,3765,0.8747127990268955
2019-05-09,2065,0,64,2647,0,77,4533,0,1029,0.11233797407585214
2019-05-10,447,0,9684,507,0,5185,3882,0,3240,0.7892351274787536
2019-05-11,155,0,157,149,0,935,272,0,2533,0.8628897881456796
2019-05-12,75,0,1346,591,0,2719,1288,0,2119,0.7598918653231752
2019-05-13,128,81,333,218,837,637,155,1081,517,0.3729621269124655
2019-05-14,0,0,3622,0,0,6228,0,0,5848,1.0
2019-05-15,31,0,21355,379,0,23430,694,0,9432,0.9800437446900815
