date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2,r
2019-03-28,1083,0,5172,2889,0,8249,8770,0,10802,0.6552955498444475
2019-03-29,719,1681,12382,2023,1829,3220,3037,2947,8070,0.6592402807173889
2019-03-30,1383,449,6801,4129,710,6156,4336,1987,6600,0.6008110349912446
2019-03-31,589,636,1584,1540,990,2381,2613,1278,6048,0.5670196500368084
2019-04-01,535,170,931,1433,445,2513,3782,1341,11983,0.666882808109627
2019-04-02,530,0,162480,1015,0,9236,3305,0,19456,0.9752578792176388
2019-04-03,294,27,14222,647,144,11202,1204,412,14769,0.9364413690268167
2019-04-04,933,15,6496,2387,123,10040,4525,173,12780,0.7823441502988898
2019-04-05,766,17,2393,1188,482,2683,1815,489,7680,0.7283732084737052
2019-04-06,1149,440,2049,1986,1952,3674,3434,6031,6596,0.45106367397751823
2019-04-07,552,574,21774,2380,257,8982,3632,1049,14478,0.8426916054994598
2019-04-08,304,48,1625,1075,623,4082,1291,1002,10262,0.7861855061047657
2019-04-09,1112,98,22544,5573,1386,10986,10603,1988,16809,0.7080127709250482
2019-04-10,667,4405,3429,1268,715,5441,3261,549,10399,0.6394438176146545
2019-04-11,0,0,176971,0,0,69285,0,0,227807,1.0
2019-04-12,217,189,5794,1908,342,5500,3898,428,27005,0.8458072922417791
2019-04-13,1216,20,23106,6216,158,15557,7810,640,17140,0.7765192101637839
2019-04-14,414,0,16106,2259,0,13458,2992,0,11527,0.8788390794764308
2019-04-15,1011,138,6248,2880,112,8135,3066,571,9836,0.7569147107541332
2019-04-16,161,592,13732,1442,1078,14524,1700,1147,32233,0.9081205242534792
2019-04-17,2734,0,11224,6445,0,10642,7089,0,33317,0.7723194916796126
2019-04-18,4295,662,2193,4923,81,2862,9983,276,9907,0.4252742879881758
2019-04-19,619,152,2313,1508,333,3400,2889,547,5125,0.6418334715148644
2019-04-20,140,205,2590,1789,103,7892,3799,294,7609,0.7407968551656361
2019-04-21,951,135,4588,2587,735,3833,5378,1252,13210,0.6621261746609935
2019-04-22,709,23,20709,3270,152,16036,5321,257,20008,0.853621117545311
2019-04-23,436,227,8817,3595,1169,6889,4324,2430,15869,0.7216153213273608
2019-04-24,723,0,46596,2714,0,23645,2480,0,30094,0.9443116364868426
2019-04-25,518,63,8856,2286,59,11013,3351,454,14761,0.8372621551703295
2019-04-26,240,20,235,561,353,394,1177,479,1153,0.38638334778837813
2019-04-28,273,0,5241,2599,0,7036,1672,0,10916,0.8361755056422828
2019-04-29,763,266,29690,850,1731,33288,785,4829,68386,0.9343898483512106
2019-04-30,419,0,13990,603,0,11454,1120,0,18036,0.9530489676033492
2019-05-01,253,36,3395,2414,1845,2714,3065,657,6334,0.6007338386520543
2019-05-02,1103,175,1309,1538,330,2605,5929,580,3281,0.42700296735905047
2019-05-03,445,155,2482,1024,373,3871,3921,559,18297,0.7919169852539596
2019-05-04,1323,212,6495,2750,496,6449,6135,1512,10940,0.6577439964749945
2019-05-05,949,0,27476,1877,0,14107,1604,0,15213,0.9276451180870872
2019-05-06,354,80,18753,396,282,22431,662,49,22816,0.9723045136198594
2019-05-07,138,0,24502,1223,0,18691,2550,0,21535,0.9430207316540159
2019-05-08,613,257,65378,2005,329,10071,1761,892,14698,0.9389921253281114
2019-05-09,4182,0,8488,4293,0,6045,15701,0,11696,0.5203650431504812
2019-05-10,2164,0,16106,6562,0,12982,16604,0,19753,0.6584918633967454
2019-05-11,835,0,2740,3068,0,3266,3943,0,8117,0.6428603941918157
2019-05-12,278,53,2158,4026,172,5366,5124,835,4374,0.5314928973465559
2019-05-13,522,81,6390,804,837,6483,15206,1081,42845,0.7504208810893076
2019-05-14,1544,25,10140,2156,48,12320,1859,44,20216,0.8826108537392455
2019-05-15,402,28,23615,620,8,26607,1938,63,13966,0.9545109819025384
2019-05-16,5068,315,11804,6762,886,19953,7182,1427,52344,0.7953490131547839
2019-05-17,12688,0,134010,13594,0,75928,72954,0,564168,0.8863721199713285
2019-05-18,5057,272,8423,3923,533,9502,17405,460,54630,0.7240656653859587
2019-05-19,6277,365,7154,6114,385,13202,10709,1826,39843,0.7010072780203784
2019-05-20,10572,0,9358,17720,0,24942,65254,0,64558,0.5138042868131639
2019-05-21,10740,2700,80191,5401,1601,35908,39941,10409,492533,0.895805859080633
2019-05-22,3539,0,37475,4018,0,28386,14089,0,168957,0.9155982905982906
2019-05-23,13599,51,90827,11653,733,101343,67355,3875,199853,0.8012095101259175
