date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-05-08,401,382,573,406,457,813,0.5280343007915568
2019-05-09,1849,137,1523,198,1313,346,0.12691017517704062
2019-05-10,1274,4547,5656,3657,10572,4545,0.4214406135334369
2019-05-11,0,196,0,50,0,94,1.0
2019-05-12,26,12,66,14,92,33,0.24279835390946503
2019-05-13,41,0,159,0,105,0,0.0
2019-05-14,0,688,0,1133,0,5233,1.0
2019-05-15,28,13397,8,14151,63,6632,0.9971119344204907
2019-05-16,513,1566,754,2666,3147,5505,0.6880785810190092
2019-05-17,107,11722,83,11778,533,60891,0.991505510256832
2019-05-18,2916,7178,2623,6850,11393,39523,0.7597718598811061
2019-05-19,801,2572,1045,1231,2772,12699,0.781344696969697
2019-05-20,4993,4662,4829,10758,31403,23977,0.4886631440549726
2019-05-21,969,33062,1041,4806,2438,66093,0.9589701962014224
2019-05-22,2478,13685,2350,17189,7696,78185,0.8969921781828052
2019-05-23,1831,70086,3868,82302,3026,97317,0.9662384398096197
2019-05-24,9010,20383,7600,5691,58517,31868,0.4354282364788193
2019-05-25,12951,8727,5701,10204,65608,51660,0.4558640241264183
2019-05-26,4414,1130,13799,2658,19443,7633,0.23271593618191821
2019-05-27,0,5294,0,3444,0,12084,1.0
2019-05-28,3071,12369,8017,15720,9294,47167,0.7868838746105105
2019-05-29,1811,4352,3024,4800,5819,34008,0.8020217787192924
2019-05-30,4154,3371,2187,3604,13981,37785,0.6877477643588089
2019-05-31,0,6592,0,1655,0,136242,1.0
2019-06-01,829,991,1181,1076,13768,10938,0.45182920473890836
2019-06-02,789,14191,1305,4388,11415,41389,0.8161465492603127
2019-06-03,0,4734,0,5769,0,21226,1.0
2019-06-04,541,1738,203,1077,4347,6379,0.6436121806090305
2019-06-05,31,18154,31,24685,220,765502,0.9996512589921385
2019-06-06,378,20524,303,11307,2954,180717,0.9831855418788712
2019-06-07,67,1071,489,668,1281,8309,0.845435422801851
2019-06-08,540,410,1052,901,5376,8517,0.5851393188854489
2019-06-09,344,2112,754,3664,3247,44340,0.9202181377499495
2019-06-10,0,2050,0,2315,0,20660,1.0
2019-06-11,741,2376,1970,3240,9644,35780,0.7701438112779297
2019-06-12,631,189,538,326,3755,3701,0.4612691466083151
2019-06-13,2985,678,826,853,7905,8758,0.46757555101113385
2019-06-14,1833,4353,788,1732,9963,9266,0.5495256846250224
2019-06-15,447,1918,1160,3058,7322,18113,0.7211256168405272
2019-06-16,1537,385,1455,514,15403,5858,0.2686466284987277
2019-06-17,0,4022,0,6876,0,61427,1.0
2019-06-18,50,1298,198,2319,17227,25682,0.6263950057724377
2019-06-19,341,655,840,1240,8024,8914,0.5400719496352553
2019-06-20,2796,5566,2795,1227,24446,24292,0.508573017898629
2019-06-21,436,5548,1107,8222,22296,2906,0.41160064173762806
2019-06-22,104,2974,170,2326,1654,36281,0.9556873290583557
2019-06-23,233,1419,385,2742,2870,18337,0.8657738782421304
2019-06-24,561,579,740,440,4762,3992,0.45250135452411056
2019-06-25,192,2239,61,4803,823,29831,0.9716461566839706
2019-06-26,0,622,0,870,0,11144,1.0
2019-06-27,29,698,138,1508,1050,9146,0.9031744768875806
2019-06-28,270,3656,178,2503,2965,56518,0.9483582992888485
2019-06-29,27,3600,133,7670,1439,63665,0.9791073248490867
2019-06-30,98,293,129,421,448,1380,0.7562296858071506
2019-07-01,119,261,80,340,391,1444,0.7760910815939279
2019-07-02,0,832,0,860,0,4338,1.0
2019-07-03,0,2863,0,2083,0,6471,1.0
2019-07-04,237,91,569,183,2031,767,0.26843733883445076
2019-07-05,109,518,120,183,1066,675,0.5151628603519282
2019-07-06,432,623,469,1062,2833,8653,0.734650369528141
2019-07-07,2007,58,1676,132,9853,1210,0.09373326191751473
2019-07-08,301,0,390,0,4823,0,0.0
2019-07-09,409,1341,255,2011,1215,10607,0.8813612829902765
2019-07-10,1070,2833,1650,4383,11925,61496,0.824309895989539
2019-07-11,0,1138,0,673,0,2329,1.0
2019-07-12,51,0,197,0,850,0,0.0
2019-07-13,79,1580,360,2750,1882,10992,0.8684464093408151
2019-07-14,577,475,1694,1096,25021,17523,0.4116328202474885
2019-07-15,12039,1630,2540,731,15674,6577,0.2280625653849098
2019-07-16,10452,662,1538,729,5445,2645,0.1879744772018071
2019-07-17,0,1816,0,4626,0,140706,1.0
2019-07-18,113,2825,136,1443,610,7102,0.9297571346798593
2019-07-19,839,1277,1058,2129,3147,7469,0.6831459262516489
2019-07-20,33,161,51,123,290,564,0.6939443535188216
2019-07-21,319,75,521,187,3196,782,0.20551181102362204
2019-07-22,82,1091,35,1590,98,6614,0.9773922187171399
2019-07-23,0,3715,0,3731,0,59128,1.0
2019-07-24,13,2869,42,4414,153,30600,0.9945393925074164
2019-07-25,3921,244,3243,316,47414,2392,0.051312358769337735
2019-07-26,6452,292,3159,707,38803,4248,0.09778051098563202
2019-07-27,437,140,459,633,2243,2405,0.5030869083425676
2019-07-28,71,230,88,115,203,309,0.6437007874015748
2019-07-29,33,95,297,108,4985,1037,0.18916857360793288
2019-07-30,45,28,240,28,1723,163,0.0983385720700494
2019-07-31,9,326,59,305,1522,1885,0.6127618119824647
2019-08-01,163,24,307,57,1021,338,0.2193717277486911
2019-08-02,209,574,421,485,2749,16916,0.8417626674159409
2019-08-03,0,18,0,47,0,56,1.0
2019-08-04,69,94,244,124,1096,735,0.40347163420829807
2019-08-05,170,295,291,697,931,7409,0.8578576534259165
2019-08-06,302,2192,365,1623,1769,15479,0.8878969167050161
2019-08-07,494,517,657,1128,5781,3773,0.43870445344129555
2019-08-08,197,3652,368,8229,2064,86351,0.9739344246041582
2019-08-09,0,62860,0,29626,0,631973,1.0
2019-08-10,0,2918,0,2325,0,19005,1.0
2019-08-11,657,415,685,160,5984,949,0.17220338983050848
2019-08-12,3345,368,1386,483,12424,5557,0.2719517888214574
2019-08-13,2300,57,5589,139,30811,613,0.020476347161406262
2019-08-14,58,896,337,2028,815,31493,0.9660369944143486
2019-08-15,85,151,63,494,389,64790,0.9918601831079852
2019-08-16,0,275,0,1028,0,8516,1.0
2019-08-17,14,457,38,932,229,6586,0.9659641472868217
2019-08-18,152,222,232,188,6151,966,0.173935027177348
2019-08-19,199,5186,356,1413,7754,13328,0.7057302734098314
2019-08-20,146,286,213,238,2809,1594,0.40068104426787743
2019-08-21,3420,1969,2800,426,32007,7673,0.20846878558857024
2019-08-22,0,2026,0,2212,0,7765,1.0
2019-08-23,0,159,0,196,0,950,1.0
2019-08-24,108,7431,623,1182,1811,12908,0.8943606366620953
2019-08-25,0,1461,0,366,0,2833,1.0
2019-08-26,183,417,468,2235,37715,22174,0.39286618559311304
2019-08-27,39,272,54,331,531,1793,0.7933774834437086
2019-08-28,0,432,0,1014,0,4220,1.0
2019-08-29,206,724,169,1797,14919,69863,0.8255662766030247
2019-08-30,0,216,0,600,0,2340,1.0
2019-08-31,0,750,0,1580,0,5716,1.0
2019-09-01,0,444,0,681,0,3573,1.0
2019-09-02,19,74,101,189,1362,745,0.40481927710843374
2019-09-03,54,1408,91,1865,466,11823,0.9611001464315273
2019-09-04,288,999,494,559,2598,4195,0.6299135004927187
2019-09-05,266,321,1191,861,7041,5827,0.4519894241310376
2019-09-06,0,40,0,0,0,126,1.0
2019-09-07,30,111,640,301,2773,1458,0.35196687370600416
2019-09-08,0,312,0,281,0,1790,1.0
2019-09-09,106,1050,216,2293,617,17706,0.9572948881207931
2019-09-10,542,361,858,334,6376,4523,0.4015699553640142
2019-09-11,553,1793,1408,13077,127895,764140,0.8571230522431249
2019-09-12,39,383,133,644,1975,2080,0.5913589645984012
2019-09-13,0,1003,0,1712,0,5465,1.0
2019-09-14,0,131,0,1284,0,4330,1.0
2019-09-15,573,2630,1661,641,10516,5193,0.39898180446874704
2019-09-16,1547,2029,1854,4520,26234,74575,0.7324370931481866
2019-09-17,0,114,0,70,0,482,1.0
2019-09-18,77,114,316,134,1516,625,0.31380301941049604
2019-09-19,0,2393,0,13995,0,634048,1.0
2019-09-20,0,375,0,752,0,19183,1.0
2019-09-21,19,694,21,1060,75,5566,0.98453261600538
2019-09-22,200,73,639,149,6017,623,0.10972600960914167
2019-09-23,0,0,0,0,0,0,0
2019-09-24,0,1144,0,3653,0,56606,1.0
2019-09-25,201,97,895,148,7730,651,0.09216210656243572
2019-09-26,0,60,0,69,0,1243,1.0
2019-09-27,108,408,1372,489,9520,5871,0.3809095002251238
2019-09-28,110,589,184,803,12752,3675,0.27974383039805667
2019-09-29,0,0,0,0,0,0,0
2019-09-30,667,205,565,211,2617,995,0.2682509505703422
2019-09-31,965,1054,3069,4103,23200,75685,0.7480106591657723
2019-10-01,178,158,75,525,397,1541,0.7738343771746694
2019-10-02,0,78,0,198,0,957,1.0
2019-10-03,267,337,638,1548,3993,14359,0.7683284457478006
2019-10-04,0,308,0,403,0,1989,1.0
2019-10-05,1135,777,368,1182,2379,71188,0.9496033961235378
2019-10-06,19,86,49,85,260,458,0.6572622779519331
2019-10-07,177,173,1110,39,7926,293,0.051965424984564725
2019-10-08,33,1209,212,655,855,1566,0.7571743929359823
2019-10-09,7,102,49,121,176,685,0.7964912280701755
2019-10-10,156,580,261,371,1249,2595,0.680353031465848
2019-10-11,0,1391,0,944,0,5649,1.0
2019-10-12,0,802,0,279,0,7427,1.0
2019-10-13,0,61,0,143,0,768,1.0
2019-10-14,0,196,0,421,0,1739,1.0
2019-10-15,435,1388,312,1053,4219,16826,0.7950728345644369
2019-10-16,144,91,409,89,3016,1218,0.28145762029394
2019-10-17,86,228,61,429,642,2320,0.790493892724376
2019-10-18,229,118,532,5,1876,142,0.09131633356305996
2019-10-19,84,211,116,150,1197,557,0.39654427645788337
2019-10-20,0,4355,0,1144,0,7552,1.0
2019-10-21,114,523,508,1308,10186,12948,0.577597998983859
2019-10-22,0,243,0,147,0,720,1.0
2019-10-23,0,0,0,0,0,0,0
2019-10-24,0,222,0,566,0,1909,1.0
2019-10-25,13,712,42,286,169,493,0.8693877551020408
2019-10-26,290,1369,1022,235,9455,2071,0.25446614042376403
2019-10-27,97,2037,136,1461,1586,13381,0.9027168681142368
2019-10-28,49,351,71,377,481,2815,0.8549710424710425
2019-10-29,237,1024,375,2064,1383,9711,0.8651480329863458
2019-10-30,50,831,168,1307,8360,15542,0.6733186076624267
2019-10-31,0,4625,0,4918,0,7525,1.0
2019-11-01,28,158,418,665,7501,2673,0.30551428821113347
2019-11-02,258,883,987,1262,4914,6133,0.5733878229549075
2019-11-03,24,2796,24,2868,169,13399,0.9887448132780083
2019-11-04,100,284,1151,391,5385,2032,0.2897356309536551
2019-11-05,23,72,271,273,748,972,0.5582874099194574
