date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-03-26,48,63913,147,42845,240,165794,0.9984065175264756
2019-03-27,2687,23349,4796,37815,9809,38933,0.852694886232952
2019-03-28,1083,5172,2889,8249,8770,10802,0.6552955498444475
2019-03-29,2400,12382,3852,3220,5984,8070,0.6592402807173889
2019-03-30,1832,6801,4839,6156,6323,6600,0.6008110349912446
2019-03-31,1225,1584,2530,2381,3891,6048,0.5670196500368084
2019-04-01,705,931,1878,2513,5123,11983,0.666882808109627
2019-04-02,530,162480,1015,9236,3305,19456,0.9752578792176388
2019-04-03,321,14222,791,11202,1616,14769,0.9364413690268167
2019-04-04,948,6496,2510,10040,4698,12780,0.7823441502988898
2019-04-05,783,2393,1670,2683,2304,7680,0.7283732084737052
2019-04-06,1589,2049,3938,3674,9465,6596,0.45106367397751823
2019-04-07,1126,21774,2637,8982,4681,14478,0.8426916054994598
2019-04-08,352,1625,1698,4082,2293,10262,0.7861855061047657
2019-04-09,1210,22544,6959,10986,12591,16809,0.7080127709250482
2019-04-10,5072,3429,1983,5441,3810,10399,0.6394438176146545
2019-04-11,0,176971,0,69285,0,227807,1.0
2019-04-12,406,5794,2250,5500,4326,27005,0.8458072922417791
2019-04-13,1236,23106,6374,15557,8450,17140,0.7765192101637839
2019-04-14,414,16106,2259,13458,2992,11527,0.8788390794764308
2019-04-15,1149,6248,2992,8135,3637,9836,0.7569147107541332
2019-04-16,753,13732,2520,14524,2847,32233,0.9081205242534792
2019-04-17,2734,11224,6445,10642,7089,33317,0.7723194916796126
2019-04-18,4957,2193,5004,2862,10259,9907,0.4252742879881758
2019-04-19,771,2313,1841,3400,3436,5125,0.6418334715148644
2019-04-20,345,2590,1892,7892,4093,7609,0.7407968551656361
2019-04-21,1086,4588,3322,3833,6630,13210,0.6621261746609935
2019-04-22,732,20709,3422,16036,5578,20008,0.853621117545311
2019-04-23,663,8817,4764,6889,6754,15869,0.7216153213273608
2019-04-24,723,46596,2714,23645,2480,30094,0.9443116364868426
2019-04-25,581,8856,2345,11013,3805,14761,0.8372621551703295
2019-04-26,260,235,914,394,1656,1153,0.38638334778837813
2019-04-28,273,5241,2599,7036,1672,10916,0.8361755056422828
2019-04-29,1029,29690,2581,33288,5614,68386,0.9343898483512106
2019-04-30,419,13990,603,11454,1120,18036,0.9530489676033492
2019-05-01,289,3395,4259,2714,3722,6334,0.6007338386520543
2019-05-02,1278,1309,1868,2605,6509,3281,0.42700296735905047
2019-05-03,600,2482,1397,3871,4480,18297,0.7919169852539596
2019-05-04,1535,6495,3246,6449,7647,10940,0.6577439964749945
2019-05-05,949,27476,1877,14107,1604,15213,0.9276451180870872
2019-05-06,434,18753,678,22431,711,22816,0.9723045136198594
2019-05-07,138,24502,1223,18691,2550,21535,0.9430207316540159
2019-05-08,870,65378,2334,10071,2653,14698,0.9389921253281114
2019-05-09,4182,8488,4293,6045,15701,11696,0.5203650431504812
2019-05-10,2164,16106,6562,12982,16604,19753,0.6584918633967454
2019-05-11,835,2740,3068,3266,3943,8117,0.6428603941918157
2019-05-12,331,2158,4198,5366,5959,4374,0.5314928973465559
2019-05-13,603,6390,1641,6483,16287,42845,0.7504208810893076
2019-05-14,1569,10140,2204,12320,1903,20216,0.8826108537392455
2019-05-15,430,23615,628,26607,2001,13966,0.9545109819025384
2019-05-16,5383,11804,7648,19953,8609,52344,0.7953490131547839
2019-05-17,12688,134010,13594,75928,72954,564168,0.8863721199713285
2019-05-18,5329,8423,4456,9502,17865,54630,0.7240656653859587
2019-05-19,6642,7154,6499,13202,12535,39843,0.7010072780203784
2019-05-20,10572,9358,17720,24942,65254,64558,0.5138042868131639
2019-05-21,13440,80191,7002,35908,50350,492533,0.895805859080633
2019-05-22,3539,37475,4018,28386,14089,168957,0.9155982905982906
2019-05-23,13650,90827,12386,101343,71230,199853,0.8012095101259175
2019-05-24,11905,59636,10831,21074,75908,137873,0.6890428620514647
2019-05-25,14588,10776,6998,15655,72173,156982,0.6617299005671569
2019-05-26,13961,72707,18656,31267,53746,796972,0.9125268786165223
2019-05-27,36197,22391,11248,8336,79658,58912,0.4135746648088511
2019-05-28,22774,99531,86965,35791,35181,288611,0.7452417408363848
2019-05-29,6455,24641,4945,24949,15123,195389,0.9023101118960449
2019-05-30,5865,6938,4901,6104,74457,64063,0.474995071706668
2019-05-31,760,20168,590,9556,4221,286438,0.9826843997973475
2019-06-01,932,45444,1300,16435,16560,258786,0.9446410001855905
2019-06-02,6243,40169,3875,15626,43514,130414,0.7763851885207284
2019-06-03,579,8389,1189,7256,5341,34705,0.8762769975112689
2019-06-04,3558,4688,5824,3103,126468,23746,0.18840770191233489
2019-06-05,290,19942,790,25604,7082,774171,0.9901410713401354
2019-06-06,413,23364,753,15718,10025,209312,0.9568888803282162
2019-06-07,1852,12577,3286,10550,20144,48223,0.7383682424041725
2019-06-08,555,5673,1098,3886,5483,40927,0.8761584117177467
2019-06-09,1251,5226,4702,6058,22431,61049,0.7181806447769493
2019-06-10,1016,12718,4457,11342,31698,113161,0.7868537547593927
2019-06-11,741,37279,1970,18852,9644,395125,0.9733505029000606
2019-06-12,1622,7420,2376,3432,18220,29597,0.6454593326631242
2019-06-13,4366,3805,2957,4032,33709,60488,0.6247885366277421
2019-06-14,2190,69343,1625,20213,13033,85052,0.9120006685609227
2019-06-15,593,4956,1664,7565,11565,65272,0.849129509359821
2019-06-16,5155,1649,10765,7077,71074,40073,0.35936314832134203
2019-06-17,9899,18561,3335,833288,23364,1805263,0.9864135337508492
2019-06-18,50,20521,198,20832,17227,201836,0.9329596722217107
2019-06-19,5314,12117,4191,6660,23940,55615,0.6898559863497686
2019-06-20,3516,26017,5261,7408,38191,62687,0.6717360916969528
2019-06-21,1977,97772,1468,80591,24131,359701,0.9512481436956368
2019-06-22,1110,12971,3319,7358,16475,78560,0.8254989857504195
2019-06-23,1817,4473,3170,4277,33203,45101,0.5850762160341587
2019-06-24,1449,1384,3976,2866,22381,12862,0.3809608620152278
2019-06-25,250,9805,183,13439,2086,99251,0.9798502567712416
2019-06-26,3734,6741,3238,6770,32867,38969,0.5684636965305083
2019-06-27,10544,6658,4006,14415,44885,328443,0.8546647397854511
2019-06-28,3073,11222,4632,11087,74909,159289,0.6873192739164005
2019-06-29,437,23751,517,19480,6855,240389,0.9732044511699247
2019-06-30,4155,3974,8061,3879,48298,17827,0.2979325707125786
2019-07-01,640,2419,2132,1851,8416,10206,0.5640586034912718
2019-07-02,434,6437,2807,7886,11055,32727,0.766961171062498
2019-07-03,641,3626,2749,2970,12609,12462,0.5436289471432239
2019-07-04,477,1300,1582,3046,9231,9307,0.5473679990378062
2019-07-05,733,1350,874,1661,4871,9933,0.6664607146534858
2019-07-06,1005,15873,2083,19729,11020,68620,0.8807741063128539
2019-07-07,3805,1850,5623,1971,36597,10456,0.2367583164737488
2019-07-08,152361,5647,149796,4318,185024,47864,0.10610630997596375
2019-07-09,5038,10774,5423,12891,49330,44686,0.5334004463797974
2019-07-10,1912,5569,2622,14720,35750,82954,0.7193280706765974
2019-07-11,979,9698,1008,6959,9002,67004,0.8838985736925515
2019-07-12,294,2666,796,3626,9313,20288,0.7187085958413325
2019-07-13,1201,2266,3669,3752,23376,15421,0.43149844017309047
2019-07-14,1361,2150,2852,4692,38181,30803,0.47033321255887756
2019-07-15,14975,5687,7004,4642,35680,47306,0.4998959182611411
2019-07-16,10715,2812,3225,4660,18446,24949,0.5002700325582113
2019-07-17,162,9039,414,25293,4014,599104,0.9928059358082586
2019-07-18,1865,3798,2174,5127,15604,33364,0.6828295549958019
2019-07-19,919,12868,2007,8369,7148,78275,0.9080721990035223
2019-07-20,531,14589,2284,3865,12594,26875,0.7463037966347262
2019-07-21,537,1605,1322,1334,5631,5499,0.5297589151180312
2019-07-22,268,12095,1906,11923,16213,131532,0.8942893116473206
2019-07-23,52,15745,232,15692,34930,348198,0.9151161024854827
2019-07-24,1067,3606,1810,6019,56911,49780,0.4983933620262935
2019-07-25,4074,10669,3559,10051,48857,108383,0.6956242961749635
2019-07-26,10156,3866,14866,6646,498279,49237,0.10247663150673184
2019-07-27,769,4500,2547,6145,22567,22203,0.5592957722497488
2019-07-28,1783,2085,3222,2418,46163,8325,0.2004500281267579
2019-07-29,980,1357,1764,3273,42112,26129,0.4067843681809165
2019-07-30,1309,865,3781,2181,39533,16304,0.30247135510293405
2019-07-31,1304,2793,2635,3853,11561,15967,0.5933146170597958
2019-08-01,889,17848,2541,10935,12348,18421,0.7494839795497126
2019-08-02,717,3807,1859,13242,12096,47258,0.8142290988743843
2019-08-03,135,2583,1214,2698,13085,20805,0.6437808489634749
2019-08-04,372,1225,1463,1581,9900,9812,0.5181291832628424
