date,trans0,trans2,comm0,comm2,zan0,zan2,r
2019-09-31,0,38279,0,9710,0,128564,1.0
2019-10-01,0,162,0,457,0,1282,1.0
2019-10-02,434,119,1012,328,3526,2344,0.3595259564601314
2019-10-03,284,3240,2341,2444,7549,10325,0.6114272619638697
2019-10-04,0,277,0,529,0,2244,1.0
2019-10-05,624,251,1320,253,14967,1313,0.09702050405809483
2019-10-06,12,96,127,159,252,1585,0.8247422680412371
2019-10-07,324,625,1016,1790,4497,17533,0.7736280783401203
2019-10-08,47,81478,110,29926,647,233214,0.9976724122956847
2019-10-09,99,2348,96,2571,653,8421,0.9402311812799549
2019-10-10,246,621,362,1115,1816,5630,0.7524004085801839
2019-10-11,746,4979,1520,2150,3240,21437,0.838401033106363
2019-10-12,0,2033,0,2289,0,7750,1.0
2019-10-13,188,918,228,1395,758,8764,0.9041710880744429
2019-10-14,15,900,15,1044,80,4755,0.9838449111470113
2019-10-15,0,380,0,596,0,8615,1.0
2019-10-16,232,387,847,872,53810,4622,0.09677472437057759
2019-10-17,158,278,359,1061,1237,5325,0.7916369684010454
2019-10-18,0,6211,0,2987,0,17931,1.0
2019-10-19,0,15762,0,8723,0,122703,1.0
2019-10-20,827,6515,549,1424,4920,9806,0.7381140551557756
2019-10-21,0,1558,0,1376,0,4598,1.0
2019-10-22,0,245,0,397,0,1873,1.0
2019-10-23,1849,4207,4299,5229,71749,29975,0.3359617417396938
2019-10-24,0,3062,0,2928,0,8200,1.0
2019-10-25,55,2627,103,1170,393,50702,0.9899909173478656
2019-10-26,286,6529,209,4030,1778,11153,0.905232436939754
2019-10-27,0,852,0,980,0,5922,1.0
2019-10-28,18431,5316,4207,8866,4746,114421,0.8244469090372916
2019-10-29,196,1839,311,5353,1040,16303,0.938223784042808
2019-10-30,1352,1714,236,2569,3045,8129,0.7281900850689351
2019-10-31,0,6765,0,18163,0,24958,1.0
2019-11-01,1942,27288,9570,26684,110915,204629,0.678692904458465
2019-11-02,1530,2199,956,4689,2302,10540,0.7844796543032049
2019-11-03,309,4611,606,5004,1674,59171,0.9637267950963222
2019-11-04,50,4817,931,1988,1064,8237,0.8803183706911687
2019-11-05,113,2776,726,1445,2126,5022,0.7571264744429882
2019-11-06,52,2887,61,1789,362,12427,0.9729775856183867
2019-11-07,2506,1624,994,1308,11801,10684,0.47086488916554275
2019-11-08,228,8119,584,8974,2123,41702,0.952454236189859
2019-11-09,14,8667,60,7851,152,567104,0.9996129129499459
2019-11-10,343,26597,1279,16011,4994,97304,0.9548482201354007
2019-11-11,2849,17137,2851,31922,64160,51537,0.5901581639836674
2019-11-12,83,3679,452,2877,2938,3461,0.7425500370644922
2019-11-13,52,3320,118,1173,450,6756,0.9477630802932008
2019-11-14,27,1464,121,1575,538,4231,0.9137757667169432
2019-11-15,74,2170,386,1658,1041,4817,0.8520599250936329
2019-11-16,0,1882,0,2740,0,8529,1.0
2019-11-17,49,2421,186,1274,1443,9369,0.8861755528422195
2019-11-18,628,6794,1340,3704,5750,18028,0.7870544090056285
2019-11-19,84,15561,470,7621,2794,32697,0.9434717274216151
2019-11-20,111,32990,525,5044,822,22387,0.9764378868436788
2019-11-21,872,8885,1536,12131,2644,21958,0.8948069795527422
2019-11-22,262,5787,13,5737,256,19385,0.9831106870229007
2019-11-23,0,4724,0,3228,0,8247,1.0
2019-11-24,73,3122,74,2669,359,9093,0.9671215074723847
2019-11-25,409,3199,806,5103,4509,22474,0.8431780821917808
2019-11-26,1404,10989,675,13273,2419,88427,0.9616169028987857
2019-11-27,10813,701,4237,901,3555,3735,0.22291370812797595
2019-11-28,6640,6967,3310,2574,21050,7647,0.35668631194488254
2019-11-29,0,6090,0,6654,0,49601,1.0
2019-11-30,0,1353,0,2749,0,24201,1.0
2019-12-01,176,0,2177,0,34874,0,0.0
2019-12-02,3120,450,5533,10227,32621,97705,0.7242075159031378
2019-12-03,5343,12704,7374,20712,73767,175494,0.7072249267080577
2019-12-04,181,3232,232,907,2159,4991,0.7802085113655786
2019-12-05,9068,55577,6031,12412,37422,79404,0.7372820312734476
2019-12-06,4596,64518,2791,4233,31055,52611,0.759442817451378
2019-12-07,3723,87181,7675,6605,43002,64814,0.7446009389671362
2019-12-08,117,19881,218,12476,1931,47374,0.9723648426161933
2019-12-09,326,1953,403,2869,4498,9594,0.7339001170900575
2019-12-10,123,38752,189,8366,1525,37061,0.9786435081845238
2019-12-11,403,7068,496,9289,867,115403,0.9867741114090139
2019-12-12,32,1880,17,2556,347,8393,0.9700567107750473
2019-12-13,416,693,340,1360,2779,4226,0.6398002853067047
2019-12-14,110,1677,321,4502,1625,11010,0.8931670563782801
2019-12-15,198,4471,364,6453,2322,22154,0.9198042378065736
2019-12-16,0,8743,0,4479,0,11062,1.0
2019-12-17,43,5390,74,6240,878,28497,0.9758037060454258
2019-12-18,579,6722,811,2078,4642,5430,0.7022998716809792
2019-12-19,270,6812,572,6263,6674,29194,0.8490308325800944
2019-12-20,11251,1307,2837,3151,3915,8256,0.41390760816485983
2019-12-21,0,2862,0,3742,0,6270,1.0
2019-12-22,22,31441,93,15624,357,41220,0.9946821095800895
2019-12-23,388,197391,442,26813,1588,135294,0.9933188916765217
2019-12-24,1195,8404,482,13711,2448,22978,0.9161891990735097
2019-12-25,339,1955,1365,3280,6865,15564,0.7082198311086897
2019-12-26,93,2252,654,1870,3639,7057,0.7182139415354963
2019-12-27,67,5215,70,10881,519,23905,0.9838650170942274
2019-12-28,0,33485,0,4450,0,15674,1.0
2019-12-29,150,2293,1009,2477,4915,8488,0.6858059176494931
2019-12-30,41,8777,8,6719,57,28208,0.9975804610819448
2019-12-31,10,5536,146,4482,241,15059,0.9844154824526968
